site_ID,pee
BMSC9,1.9819257205347622
BMSC2,1.8970975772952088
BMSC10,1.6450943488334049
BMSC19,1.4947801284668576
BMSC8,1.3171663675618313
BMSC20,1.2826641388298583
BMSC11,1.1641938950207629
BMSC12,1.1175594560862505
BMSC14,0.9513102836573675
BMSC15,0.9095839885832238
BMSC13,0.868820351534695
BMSC7,0.8617667515310473
BMSC3,0.7996218356360487
BMSC23,0.7875788174403859
BMSC17,0.7710078535578823
BMSC4,0.7504291778073202
BMSC16,0.7300687579623268
BMSC5,0.5212970032360286
BMSC1,0.505818669139907
BMSC6,0.5058023525581472
BMSC21,0.4617301086183872
BMSC22,0.45933470921760416
BMSC18,0.3371383784805792
